source,page,word_count
C:\Users\haris\Downloads\Rag\sideBySide.pdf,46,588
C:\Users\haris\Downloads\Rag\sideBySide.pdf,47,439
C:\Users\haris\Downloads\Rag\sideBySide.pdf,48,550
C:\Users\haris\Downloads\Rag\sideBySide.pdf,49,483
C:\Users\haris\Downloads\Rag\sideBySide.pdf,50,487
C:\Users\haris\Downloads\Rag\sideBySide.pdf,51,481
C:\Users\haris\Downloads\Rag\sideBySide.pdf,52,360
C:\Users\haris\Downloads\Rag\sideBySide.pdf,53,278
C:\Users\haris\Downloads\Rag\sideBySide.pdf,54,466
C:\Users\haris\Downloads\Rag\sideBySide.pdf,55,623
C:\Users\haris\Downloads\Rag\sideBySide.pdf,56,951
C:\Users\haris\Downloads\Rag\sideBySide.pdf,57,161
C:\Users\haris\Downloads\Rag\sideBySide.pdf,58,606
C:\Users\haris\Downloads\Rag\sideBySide.pdf,59,638
C:\Users\haris\Downloads\Rag\sideBySide.pdf,60,837
C:\Users\haris\Downloads\Rag\sideBySide.pdf,61,896
C:\Users\haris\Downloads\Rag\sideBySide.pdf,62,57
C:\Users\haris\Downloads\Rag\sideBySide.pdf,63,76
